Facility Name,Fee Name,Deleted?
Ashley Lawrence Field - Sr 5,Affiliated/Board of Education - Jan. 2023,Yes
Ashley Lawrence Field - Sr 5,Affiliated/BOED [Jan. 2024],No
Ashley Lawrence Field - Sr 5,Affiliated/BOED [Jan. 2025],No
Ashley Lawrence Field - Sr 5,Commercial - Jan. 2023,Yes
Ashley Lawrence Field - Sr 5,Commercial [Jan. 2024],No
Ashley Lawrence Field - Sr 5,Commercial [Jan. 2025],No
Ashley Lawrence Field - Sr 5,Non-Resident - Jan. 2023,Yes
Ashley Lawrence Field - Sr 5,Non-Resident [Jan. 2024],No
Ashley Lawrence Field - Sr 5,Non-Resident [Jan. 2025],No
Ashley Lawrence Field - Sr 5,Resident - Jan. 2023,Yes
Ashley Lawrence Field - Sr 5,Resident [Jan 2025],No
Ashley Lawrence Field - Sr 5,Resident [Jan. 2024],No
Ashley Lawrence Field - Sr 5,Affiliated - Tournament (4-6HRS) - 2023,Yes
Ashley Lawrence Field - Sr 5,Affiliated - Tournament (4-6HRS) [Jan. 2024],No
Ashley Lawrence Field - Sr 5,Affiliated - Tournament (4-6HRS) [Jan. 2025],No
Ashley Lawrence Field - Sr 5,Affiliated - Tournament (6-9HRS) - 2023,Yes
Ashley Lawrence Field - Sr 5,Affiliated - Tournament (6-9HRS) [Jan. 2024],No
Ashley Lawrence Field - Sr 5,Affiliated - Tournament (6-9HRS) [Jan. 2025],No
Ashley Lawrence Field - Sr 5,Affiliated - Tournament (9+HRS) - 2023,Yes
Ashley Lawrence Field - Sr 5,Affiliated - Tournament (9+HRS) [Jan. 2024],No
Ashley Lawrence Field - Sr 5,Affiliated - Tournament (9+HRS) [Jan. 2025],No
Ashley Lawrence Field - Sr 5,Board of Education - Tournament (4-6HRS) - 2023,Yes
Ashley Lawrence Field - Sr 5,Board of Education - Tournament (6-9HRS) - 2023,Yes
Ashley Lawrence Field - Sr 5,Board of Education - Tournament (9+HRS) - 2023,Yes
