groupTitleContent,EventID,Category,Calendar,Service,Subject
Full Year Drop-Ins 2023/24,00243214,Drop-In and Try-It Programs,Skating,Drop-In Shinny,Shinny Drop-In (18+ Years) | Earnscliffe 2:45-4:35pm
Full Year Drop-Ins 2023/24,00243056,Drop-In and Try-It Programs,Sports,Drop-In Badminton,Badminton Drop-In (18+ Years) | Century Gardens 8:30-10:00pm
Full Year Drop-Ins 2023/24,00243034,Drop-In and Try-It Programs,Sports,Drop-In Badminton,Badminton Family Drop-In ( 4+ Years) | Century Gardens 7:00 -8:30pm
Full Year Drop-Ins 2023/24,00242925,Drop-In and Try-It Programs,Sports,Drop-In Basketball,Basketball Family (Arena Floor) Drop-In ( 4+ Years) | Earnscliffe 11:30-12:30pm
Full Year Drop-Ins 2023/24,00242888,Drop-In and Try-It Programs,Sports,Drop-In Soccer,Soccer (Arena Floor) Family Drop-In ( 4+ Years) | Earnscliffe 11:30-12:30pm
Full Year Drop-Ins 2023/24,00241347,Drop-In and Try-It Programs,Swimming,Drop-In Therapeutic Swim,Therapeutic Swim Drop-In (14+ Years) | Chinguacousy Wellness Centre Leisure Pool (warm water) 8:30-9:30pm
Full Year Drop-Ins 2023/24,00241343,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Public Swim Drop-In (All Ages) | Chinguacousy Wellness Centre 2:00-3:00pm
Full Year Drop-Ins 2023/24,00241342,Drop-In and Try-It Programs,Swimming,Drop-In Lane Swim,Lane Swim Drop-In ( 6+ Years) | Chinguacousy Wellness Centre 8:00-9:00am
Full Year Drop-Ins 2023/24,00241340,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Public Swim Drop-In (All Ages) | Jim Archdekin 6:05-7:05pm
Full Year Drop-Ins 2023/24,00241339,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Public Swim Drop-In (All Ages) | Jim Archdekin 12:00-1:00pm
Full Year Drop-Ins 2023/24,00241338,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Public Swim Drop-In (All Ages) | Jim Archdekin 11:30-12:30pm
Full Year Drop-Ins 2023/24,00241336,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Adult Swim Drop-In (18+ Years) | Jim Archdekin 7:05-8:05pm
Full Year Drop-Ins 2023/24,00241334,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Adult Swim Drop-In (18+ Years) | Jim Archdekin 11:00-12:00pm
Full Year Drop-Ins 2023/24,00241333,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Adult Swim Drop-In (18+ Years) | Jim Archdekin 10:00-11:00am
Full Year Drop-Ins 2023/24,00241331,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Adult Swim Drop-In (18+ Years) | Jim Archdekin 10:30-11:30am
Full Year Drop-Ins 2023/24,00241329,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Adult Swim Drop-In (18+ Years) | Jim Archdekin 9:30-10:30am
Full Year Drop-Ins 2023/24,00241326,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Public Swim Drop-In (All Ages) | Loafer's Lake 1:30-2:30pm
Full Year Drop-Ins 2023/24,00241324,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Public Swim Drop-In (All Ages) | Loafer's Lake 7:05-8:05pm
Full Year Drop-Ins 2023/24,00241323,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Adult Swim Drop-In (18+ Years) | Loafer's Lake 8:05-9:05pm
Full Year Drop-Ins 2023/24,00241321,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Adult Swim Drop-In (18+ Years) | Loafer's Lake 2:30-3:30pm
Full Year Drop-Ins 2023/24,00241320,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Adult Swim Drop-In (18+ Years) | Loafer's Lake 12:05-1:05pm
Full Year Drop-Ins 2023/24,00241319,Drop-In and Try-It Programs,Swimming,Drop-In Lane Swim,Lane Swim Drop-In ( 6+ Years) | Chinguacousy Wellness Centre 8:30-9:30pm
Full Year Drop-Ins 2023/24,00241316,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Public Swim Drop-In (All Ages) | Loafer's Lake 1:05-2:05pm
